Genero	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Rickettsiellales;f__Rickettsiellaceae;g__Incertae_Sedis	 0	 0	 4	 0	 0	 0	10	17	41	76	 5	24
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus	 0	 2	 6	 0	 0	 3	27	24	16	31	28	17
d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 2	 4	21	 5	11	 0	40	36	40	40	57	54
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Stappiaceae;g__Polymorphum	10	10	18	25	19	 9	17	31	66	37	45	66
d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__;__	  0	  0	 10	  0	  0	  0	 42	  3	 25	  7	133	 42
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula	22	22	45	25	19	15	12	67	63	65	44	56
d__Bacteria;p__Chloroflexota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	12	 0	 0	 0	 0	 6	21	80	59	32	50
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloterricola	 0	 0	 9	 0	 0	 5	65	19	11	20	 7	 2
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Beggiatoales;f__Beggiatoaceae;g__Candidatus_Allobeggiatoa	 0	 4	14	 3	 6	 0	10	14	17	26	24	21
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__27F-1492R;g__Incertae_Sedis	 0	 0	 3	 0	 0	 0	24	 8	17	18	54	10
d__Bacteria;p__Pseudomonadota;__;__;__;__	15	 7	15	21	14	 7	15	37	28	28	 5	51
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;__;__	 8	 5	11	 0	 0	 0	18	33	33	18	43	31
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__AK92	 0	 0	10	 0	 0	 0	25	59	 6	15	62	13
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Neo-b11	 0	 0	 5	 0	14	 0	39	12	66	47	35	32
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Polymorphospora	25	 0	27	19	19	 0	29	 0	 0	 0	50	44
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Polyangiaceae;g__Labilithrix	 0	18	27	 9	12	 0	12	 9	39	32	22	19
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Novipirellula	22	13	22	12	14	 9	 0	 7	 8	 0	 8	 5
d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia;o__Hydrogenedentiales;f__Hydrogenedensaceae;g__Incertae_Sedis	  7	  0	 11	 12	  0	  5	 18	124	 53	 56	 25	 68
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Candidatus_Peribacteria;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 3	 8	 0	 0	 8	28	35	26	12	16
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;__	 0	 0	 0	 0	 0	 0	 0	14	52	23	 0	25
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Hyalangium	 0	18	13	 6	20	 6	32	28	40	36	42	41
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Puniceicoccaceae;g__Ruficoccus	 4	 3	 5	12	 5	 0	10	11	 8	 0	37	14
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;__	32	44	16	36	32	 8	27	26	29	44	69	78
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillales_Incertae_Sedis;g__Stella	 6	 0	 8	 4	 7	 0	 4	 6	16	26	 7	21
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__SH-PL14	10	11	16	 6	 6	 9	 8	14	14	16	10	 4
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Oligoflexaceae;g__Oligoflexus	 6	 7	 0	11	 7	 0	 0	14	22	18	16	24
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;__;__	16	 8	15	16	13	18	 0	 8	13	 9	 3	 0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	 7	 0	 0	16	 7	13	17	23	 0	21	23	 0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;__	 0	 0	12	 7	 7	 3	 2	16	13	 5	11	33
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Metasolibacillus	  0	105	 15	 14	  0	  0	  8	 52	  0	 11	 28	 14
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Micropepsis	 0	 0	 0	 4	 0	 0	 3	18	15	19	22	17
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Elsterales;f__Elsteraceae;__	 0	13	 5	 2	 0	 0	11	28	25	26	26	26
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Incertae_Sedis;g__Incertae_Sedis	  0	  0	  0	  0	  0	  0	  5	 44	120	 62	 12	 83
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Diplosphaera	 5	 4	 6	 5	 0	 0	 0	11	14	14	22	19
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__WWH38;g__Incertae_Sedis	 7	 4	 7	17	10	10	 6	13	10	 3	 2	15
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Mycoplana	 0	 0	 0	 0	 0	 0	12	12	12	17	13	26
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Incertae_Sedis	 4	 0	 6	 0	 0	 0	13	16	19	10	10	14
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Stappiaceae;__	11	 0	 0	 8	 6	 0	 0	19	23	49	28	37
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__TSBb06;f__Incertae_Sedis;g__Incertae_Sedis	13	12	 0	 0	17	 9	 5	40	40	24	43	53
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Moranbacteria;f__Incertae_Sedis;g__Incertae_Sedis	 0	 5	10	 5	 4	 4	 5	10	 8	 5	15	15
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__	 0	54	 1	 9	 0	 3	 4	12	 0	 7	 0	 0
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Indiicoccus	14	31	56	26	 0	16	 5	11	 0	 0	 0	 0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium	 0	 0	 0	51	41	18	 0	 0	 0	 0	 0	 0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Povalibacter	 6	 3	 9	 0	10	 0	17	24	34	22	23	41
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;__;__	15	27	 9	 0	17	 0	 0	 7	48	35	 0	 6
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Incertae_Sedis;g__Incertae_Sedis	 6	 8	 6	 0	 8	 0	25	15	36	20	33	45
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Tersicoccus	16	 0	 0	 0	19	 0	21	 0	 0	54	10	 0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Incertae_Sedis;g__Incertae_Sedis	 9	 0	17	 9	 6	 0	12	11	 8	16	13	 0
d__Bacteria;p__Myxococcota;c__Polyangiia;o__mle1-27;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 4	 0	 0	 0	 4	 6	25	16	 2	21
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02	12	10	28	14	11	 0	50	42	35	51	75	55
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	17	 0	 4	 4	53	16	37	20	60	58
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__Incertae_Sedis	 7	 5	18	 9	 9	16	 9	49	36	32	20	10
d__Bacteria;p__Bacillota;__;__;__;__	11	 9	20	12	11	 0	35	54	70	46	12	38
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Nitritalea	 0	 0	 0	 0	 8	17	10	 0	 0	 0	36	 0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__Incertae_Sedis;g__GW2011_GWC1_47_15	 0	 0	 4	 3	 0	 0	14	 0	 6	 8	21	17
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;__;__	 7	 0	 5	 0	 3	 7	 7	23	 8	22	 9	11
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;__	 0	 2	13	 0	 4	 0	 6	12	10	10	 4	11
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	11	 4	 4	 4	 0	 3	12	10	11	 9	 6
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 7	 6	 3	 0	 8	19	12	17	 0	58
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;__	 0	 0	 4	 0	 0	 0	 7	15	24	23	 9	38
d__Bacteria;p__Myxococcota;c__Polyangiia;__;__;__	 2	 0	16	 4	 7	 0	 0	20	13	14	 0	38
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage	 0	 0	11	 0	10	 0	11	19	11	14	10	14
d__Bacteria;p__Actinomycetota;__;__;__;__	15	 0	13	17	 0	10	 4	 6	83	60	20	46
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Terriglobales;f__Acidobacteriaceae_(Subgroup_1);g__Incertae_Sedis	 0	 0	 0	 0	 0	 0	 0	23	23	19	12	 0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Paraherbaspirillum	 7	 0	23	 0	 9	 0	 0	 7	35	21	 0	24
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__Armatimonas	12	 4	 4	17	 6	 3	 3	 5	 0	 0	 5	 5
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Paralcaligenes	15	21	24	16	 0	11	 0	 0	 9	 0	 0	 0
d__Bacteria;p__Gemmatimonadota;c__Longimicrobiia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobium	 0	 8	 0	 0	 0	 3	 6	 8	 0	 0	 0	41
d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__S085;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 5	 4	 0	 0	17	 0	11	16	30	30
d__Bacteria;p__Thermodesulfobacteriota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__Dissulfuribacteraceae;g__Dissulfurirhabdus	 0	 0	 0	 0	 4	 0	 0	 9	18	11	 4	17
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Nomurabacteria;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 5	 0	 0	 0	 8	 4	26	23	33	20
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__I-8	 0	 0	 0	 5	 2	 0	 4	 7	11	 6	16	15
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__SN8	29	 6	 4	33	 0	 5	 0	 0	 0	 2	 0	 0
d__Bacteria;p__Cyanobacteriota;c__Vampirivibrionia;o__Vampirovibrionales;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 9	 3	 0	 0	 0	27	19	17	 6	29
d__Bacteria;p__Elusimicrobiota;__;__;__;__	 0	 0	 4	 0	 0	 0	 4	 3	11	13	 5	18
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Rugamonas	122	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__	 0	 0	11	 7	 3	 8	26	11	64	 5	21	13
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylopilaceae;g__Chenggangzhangella	 0	 6	 0	 7	 0	 0	 8	 3	 0	10	12	 9
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;__	 5	 0	 0	 0	 0	 0	 0	 7	10	 7	15	19
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Tellurimicrobium	 9	 0	 5	 7	11	 6	 0	 7	 5	 0	 3	 0
d__Bacteria;p__Chloroflexota;c__JG30-KF-CM66;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 0	 4	 0	 0	 7	 8	25	27	22	21
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Pedosphaerales;f__Pedosphaeraceae;__	 0	 0	 3	 0	 0	 0	21	10	25	 8	33	19
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Luethyella	 0	27	 0	 0	25	 0	 0	 0	 0	 0	 0	 0
d__Bacteria;p__Chloroflexota;c__TK10;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 0	 7	 0	 0	 8	47	48	45	 0	41
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Lineage_IV;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 0	 0	 0	 0	 8	 2	 9	 7	13	12
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__AMGG11;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 8	 0	 0	 0	 6	 9	11	 0	10	 7
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Incertae_Sedis	21	 0	19	 0	10	 0	 2	14	36	41	20	47
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;__;__	 0	 0	10	16	 0	 0	 7	 8	15	30	11	22
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Incertae_Sedis	 2	 3	 3	 2	 0	 0	24	28	27	28	70	30
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;__	 5	 0	16	 0	10	 0	 5	18	12	 5	 9	 8
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Kallotenuales;f__AKIW781;g__Incertae_Sedis	 0	 0	 5	 3	 6	 0	 0	 0	10	 6	 8	22
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__CPla-3_termite_group;g__Incertae_Sedis	 0	 0	 6	 0	 0	 0	 2	 6	 5	 6	11	20
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Cephaloticoccus	 0	 0	 0	 5	 0	 0	 6	27	13	 0	13	29
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Candidatus_Arcanobacter	 0	 0	 0	 0	 0	 0	 0	16	25	12	 0	 7
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__GWA2-38-13b;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 0	 0	 0	 2	 2	 7	 6	14	 0	12
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;__	 0	 0	22	 0	 0	 0	 5	 5	 0	 0	11	26
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa	 3	 0	 2	 4	 4	 3	 3	 0	10	 0	 6	 9
d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Candidatus_Metachlamydia	 4	 5	 0	 0	 0	 0	 0	10	 6	 8	 9	10
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Salinisphaerales;f__Nevskiaceae;g__Panacagrimonas	 5	 6	 6	 0	 0	 0	 0	11	 0	 0	 3	 9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13;g__Incertae_Sedis	 0	 0	 5	 2	 0	 0	 8	 6	 4	 7	 0	14
d__Bacteria;p__WS2;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 0	 0	 5	 0	 0	 0	14	 7	 5	 8
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Azambacteria;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 2	 0	 0	 0	16	 0	 6	 0	26	10
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	14	 0	 0	 0	 0	 0	13	 8	10	 0
d__Bacteria;p__Ignavibacteriota;c__Ignavibacteria;o__Ignavibacteriales;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 0	 0	 0	 5	 0	12	16	 4	 2	 4
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Pedosphaerales;f__Pedosphaeraceae;g__DEV008	 0	 0	 0	 0	 0	 2	 6	 8	 0	10	 4	 8
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Iamia	 0	 0	 0	 0	 0	 0	 0	17	 0	21	 0	 0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__Incertae_Sedis;g__Incertae_Sedis	 0	 7	19	 0	 2	 3	21	57	30	38	75	30
d__Bacteria;p__Acidobacteriota;c__Subgroup_5;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	 5	 8	 0	 8	 0	 6	 5	15	 9	 0	11
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Ardenticatenales;f__Ardenticatenaceae;g__Incertae_Sedis	 4	 0	 0	 4	 0	 0	 0	 0	17	 0	 0	15
d__Bacteria;p__Abditibacteriota;c__Abditibacteriia;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium	13	 7	14	 0	 0	 9	 4	 6	 6	 4	 5	16
d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__Sumerlaeales;f__Sumerlaeaceae;g__Sumerlaea	 6	 0	 0	 9	 7	 5	11	 5	 3	 2	19	 0
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;__	 0	 8	 0	 0	10	 0	 0	18	 0	 0	 0	 0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__Thalassobaculum	 0	 5	10	 0	 5	 0	 5	 0	 0	12	 8	13
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Incertae_Sedis;g__Incertae_Sedis	 0	 3	 3	 0	 0	 0	 6	 4	14	 0	 0	16
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Gulbenkiania	 0	 0	35	 0	 0	 0	 0	10	 0	 0	 0	 4
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Pseudarcicella	2	4	7	6	0	0	0	8	0	2	0	5
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrosocosmicus	0	3	7	4	0	0	0	9	0	4	3	4
d__Bacteria;p__Candidatus_Kapabacteria;c__Kapabacteria;o__Kapabacteriales;f__Incertae_Sedis;g__Incertae_Sedis	 7	 0	 4	 0	 4	 0	 0	 9	 4	12	10	 0
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;__;__	 0	 0	 0	 0	 0	 0	 4	 0	 3	 7	 8	11
d__Bacteria;p__Chloroflexota;c__N9D0;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 0	 0	 0	 5	 0	 5	 6	14	 5	 9
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;__	 7	 0	 0	 0	 0	 0	 0	 0	14	11	 0	15
d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Buchananbacteria;f__Incertae_Sedis;g__Incertae_Sedis	 0	 4	 0	 0	 0	 0	 2	 0	 9	11	 7	 0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphocola	3	7	0	0	0	7	0	8	5	0	7	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pelobium	 0	13	 0	 0	19	 0	 0	 0	 0	 0	 0	 0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Pontibacter	22	23	16	 7	 0	17	 0	16	10	12	 0	15
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae_Sedis;g__Incertae_Sedis	 4	 0	 0	 0	 5	 0	 0	16	 8	 5	 0	16
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;__;__	0	0	0	4	0	0	5	7	6	0	9	0
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;__;__	 0	 0	 0	 0	 0	 0	31	15	 4	 5	 0	 3
d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202_clade;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	 0	 2	 0	 0	12	 3	 5	10	 7	 6
d__Bacteria;p__Patescibacteria;c__WWE3;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	3	2	4	6	8	3	3	9
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__Arboricoccus	 0	 0	 0	 0	 6	 2	 6	 0	 0	10	 0	 7
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Pseudobdellovibrionaceae;g__OM27_clade	 0	 0	 2	 0	 0	 0	14	 8	 0	 8	25	 0
d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter	 0	 0	14	 5	 0	 0	 4	28	 7	15	29	19
d__Bacteria;p__Gemmatimonadota;c__AKAU4049;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	0	0	0	0	0	0	3	5	8	7	6	0
d__Bacteria;p__Myxococcota;__;__;__;__	0	0	8	0	0	0	8	5	0	8	6	0
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	 3	 6	 0	 0	20	 0	 0	 0	 0	 0	 0	 0
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caedibacterales;f__Caedibacteraceae;g__Candidatus_Nucleicultrix	 0	 0	 5	 0	 0	 0	 0	 2	 0	 0	 0	21
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	 0	 0	 0	 0	 3	 0	 0	 0	22	 0	 0	 3
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Lapillicoccus	 0	 0	 0	 0	 6	 0	 0	 0	 9	 8	10	 0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Incertae_Sedis;g__Incertae_Sedis	0	0	7	0	4	0	3	4	6	0	7	3
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylopilaceae;g__Incertae_Sedis	 0	 0	 0	 0	 0	 0	 0	 0	14	 0	 0	19
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Pedosphaerales;f__Pedosphaeraceae;g__Pedosphaera	0	0	0	4	0	0	0	0	7	6	0	9
